MsgType,MsgStartTime,MsgStopTime,MsgPowerRole
AUX,65.311,65.66,DUT
AUX,66.311,66.66,DUT
AUX,67.311,67.66,DUT
AUX,68.311,68.66,DUT
AUX,69.311,69.66,DUT
AUX,70.311,70.66,DUT
AUX,71.311,71.66,DUT
AUX,72.311,72.66,DUT
AUX,73.311,73.66,DUT
AUX,74.311,74.66,DUT
AUX,75.311,75.66,DUT
AUX,76.311,76.66,DUT
AUX,77.311,77.66,DUT
AUX,78.311,78.66,DUT
AUX,79.311,79.66,DUT
AUX,80.311,80.66,DUT
AUX,81.311,81.66,DUT
AUX,82.311,82.66,DUT
AUX,83.311,83.66,DUT
AUX,84.311,84.66,DUT
AUX,85.311,85.66,DUT
AUX,86.311,86.66,DUT
AUX,87.311,87.66,DUT
AUX,88.311,88.66,DUT
AUX,89.311,89.66,DUT
AUX,90.311,90.66,DUT
AUX,91.311,91.66,DUT
AUX,92.311,92.66,DUT
AUX,93.311,93.66,DUT
AUX,94.311,94.66,DUT
AUX,95.311,95.66,DUT
AUX,96.311,96.66,DUT
AUX,97.311,97.66,DUT
AUX,98.311,98.66,DUT
AUX,99.311,99.66,DUT
AUX,100.311,100.66,DUT
AUX,101.311,101.66,DUT
AUX,102.311,102.66,DUT
AUX,103.311,103.66,DUT
AUX,104.311,104.66,DUT
AUX,105.311,105.66,DUT
AUX,106.311,106.66,DUT
AUX,107.311,107.66,DUT
AUX,108.311,108.66,DUT
AUX,109.311,109.66,DUT
AUX,110.311,110.66,DUT
AUX,111.311,111.66,DUT
AUX,112.311,112.66,DUT
AUX,113.311,113.66,DUT
AUX,114.311,114.66,DUT
AUX,115.311,115.66,DUT
AUX,116.311,116.66,DUT
AUX,117.311,117.66,DUT
AUX,118.311,118.66,DUT
AUX,119.311,119.66,DUT
AUX,120.311,120.66,DUT
AUX,121.311,121.66,DUT
AUX,122.311,122.66,DUT
AUX,123.311,123.66,DUT
AUX,124.311,124.66,DUT
AUX,125.311,125.66,DUT
AUX,126.311,126.66,DUT
AUX,127.311,127.66,DUT
AUX,128.311,128.66,DUT
AUX,129.311,129.66,DUT
AUX,130.311,130.66,DUT
AUX,131.311,131.66,DUT
AUX,132.311,132.66,DUT
AUX,133.311,133.66,DUT
AUX,134.311,134.66,DUT
AUX,135.311,135.66,DUT
AUX,136.311,136.66,DUT
AUX,137.311,137.66,DUT
AUX,138.311,138.66,DUT
AUX,139.311,139.66,DUT
AUX,140.311,140.66,DUT
AUX,141.311,141.66,DUT
AUX,142.311,142.66,DUT
AUX,143.311,143.66,DUT
AUX,144.311,144.66,DUT
AUX,145.311,145.66,DUT
AUX,146.311,146.66,DUT
AUX,147.311,147.66,DUT
AUX,148.311,148.66,DUT
AUX,149.311,149.66,DUT
AUX,150.311,150.66,DUT
AUX,151.311,151.66,DUT
AUX,152.311,152.66,DUT
AUX,153.311,153.66,DUT
AUX,154.311,154.66,DUT
AUX,155.311,155.66,DUT
AUX,156.311,156.66,DUT
AUX,157.311,157.66,DUT
AUX,158.311,158.66,DUT
AUX,159.311,159.66,DUT
AUX,160.311,160.66,DUT
AUX,161.311,161.66,DUT
AUX,162.311,162.66,DUT
AUX,163.311,163.66,DUT
AUX,164.311,164.66,DUT
AUX,165.311,165.66,DUT
AUX,166.311,166.66,DUT
AUX,167.311,167.66,DUT
AUX,168.311,168.66,DUT
AUX,169.311,169.66,DUT
AUX,170.311,170.66,DUT
AUX,171.311,171.66,DUT
AUX,172.311,172.66,DUT
AUX,173.311,173.66,DUT
AUX,174.311,174.66,DUT
AUX,175.311,175.66,DUT
AUX,176.311,176.66,DUT
AUX,177.311,177.66,DUT
AUX,178.311,178.66,DUT
AUX,179.311,179.66,DUT
AUX,180.311,180.66,DUT
AUX,181.311,181.66,DUT
AUX,182.311,182.66,DUT
AUX,183.311,183.66,DUT
AUX,184.311,184.66,DUT
AUX,185.311,185.66,DUT
AUX,186.311,186.66,DUT
AUX,187.311,187.66,DUT
AUX,188.311,188.66,DUT
AUX,189.311,189.66,DUT
AUX,190.311,190.66,DUT
AUX,191.311,191.66,DUT
AUX,192.311,192.66,DUT
AUX,193.311,193.66,DUT
AUX,194.311,194.66,DUT
AUX,195.311,195.66,DUT
AUX,196.311,196.66,DUT
AUX,197.311,197.66,DUT
AUX,198.311,198.66,DUT
AUX,199.311,199.66,DUT
AUX,200.311,200.66,DUT
AUX,201.311,201.66,DUT
AUX,202.311,202.66,DUT
AUX,203.311,203.66,DUT
AUX,204.311,204.66,DUT
AUX,205.311,205.66,DUT
AUX,206.311,206.66,DUT
AUX,207.311,207.66,DUT
AUX,208.311,208.66,DUT
AUX,209.311,209.66,DUT
AUX,210.311,210.66,DUT
AUX,211.311,211.66,DUT
AUX,212.311,212.66,DUT
AUX,213.311,213.66,DUT
AUX,214.311,214.66,DUT
AUX,215.311,215.66,DUT
AUX,216.311,216.66,DUT
AUX,217.311,217.66,DUT
AUX,218.311,218.66,DUT
AUX,219.311,219.66,DUT
AUX,220.311,220.66,DUT
AUX,221.311,221.66,DUT
AUX,222.311,222.66,DUT
AUX,223.311,223.66,DUT
AUX,224.311,224.66,DUT
AUX,225.311,225.66,DUT
AUX,226.311,226.66,DUT
AUX,227.311,227.66,DUT
AUX,228.311,228.66,DUT
AUX,229.311,229.66,DUT
AUX,230.311,230.66,DUT
AUX,231.311,231.66,DUT
AUX,232.311,232.66,DUT
AUX,233.311,233.66,DUT
AUX,234.311,234.66,DUT
AUX,235.311,235.66,DUT
AUX,236.311,236.66,DUT
AUX,237.311,237.66,DUT
AUX,238.311,238.66,DUT
AUX,239.311,239.66,DUT
AUX,240.311,240.66,DUT
AUX,241.311,241.66,DUT
AUX,242.311,242.66,DUT
AUX,243.311,243.66,DUT
AUX,244.311,244.66,DUT
AUX,245.311,245.66,DUT
AUX,246.311,246.66,DUT
AUX,247.311,247.66,DUT
AUX,248.311,248.66,DUT
AUX,249.311,249.66,DUT
AUX,250.311,250.66,DUT
AUX,251.311,251.66,DUT
AUX,252.311,252.66,DUT
AUX,253.311,253.66,DUT
AUX,254.311,254.66,DUT
AUX,255.311,255.66,DUT
AUX,256.311,256.66,DUT
AUX,257.311,257.66,DUT
AUX,258.311,258.66,DUT
AUX,259.311,259.66,DUT
AUX,260.311,260.66,DUT
AUX,261.311,261.66,DUT
AUX,262.311,262.66,DUT
AUX,263.311,263.66,DUT
AUX,264.311,264.66,DUT
AUX,265.311,265.66,DUT
AUX,266.311,266.66,DUT
AUX,267.311,267.66,DUT
AUX,268.311,268.66,DUT
AUX,269.311,269.66,DUT
AUX,270.311,270.66,DUT
AUX,271.311,271.66,DUT
AUX,272.311,272.66,DUT
AUX,273.311,273.66,DUT
AUX,274.311,274.66,DUT
AUX,275.311,275.66,DUT
AUX,276.311,276.66,DUT
AUX,277.311,277.66,DUT
AUX,278.311,278.66,DUT
AUX,279.311,279.66,DUT
AUX,280.311,280.66,DUT
AUX,281.311,281.66,DUT
AUX,282.311,282.66,DUT
AUX,283.311,283.66,DUT
AUX,284.311,284.66,DUT
AUX,285.311,285.66,DUT
AUX,286.311,286.66,DUT
AUX,287.311,287.66,DUT
AUX,288.311,288.66,DUT
AUX,289.311,289.66,DUT
AUX,290.311,290.66,DUT
AUX,291.311,291.66,DUT
AUX,292.311,292.66,DUT
AUX,293.311,293.66,DUT
AUX,294.311,294.66,DUT
AUX,295.311,295.66,DUT
AUX,296.311,296.66,DUT
AUX,297.311,297.66,DUT
AUX,298.311,298.66,DUT
AUX,299.311,299.66,DUT
AUX,300.311,300.66,DUT
AUX,301.311,301.66,DUT
AUX,302.311,302.66,DUT
AUX,303.311,303.66,DUT
AUX,304.311,304.66,DUT
AUX,305.311,305.66,DUT
AUX,306.311,306.66,DUT
AUX,307.311,307.66,DUT
AUX,308.311,308.66,DUT
AUX,309.311,309.66,DUT
AUX,310.311,310.66,DUT
AUX,311.311,311.66,DUT
AUX,312.311,312.66,DUT
AUX,313.311,313.66,DUT
AUX,314.311,314.66,DUT
AUX,315.311,315.66,DUT
AUX,316.311,316.66,DUT
AUX,317.311,317.66,DUT
AUX,318.311,318.66,DUT
AUX,319.311,319.66,DUT
AUX,320.311,320.66,DUT
AUX,321.311,321.66,DUT
AUX,322.311,322.66,DUT
AUX,323.311,323.66,DUT
AUX,324.311,324.66,DUT
AUX,325.311,325.66,DUT
AUX,326.311,326.66,DUT
AUX,327.311,327.66,DUT
AUX,328.311,328.66,DUT
AUX,329.311,329.66,DUT
AUX,330.311,330.66,DUT
AUX,331.311,331.66,DUT
AUX,332.311,332.66,DUT
AUX,333.311,333.66,DUT
AUX,334.311,334.66,DUT
AUX,335.311,335.66,DUT
AUX,336.311,336.66,DUT
AUX,337.311,337.66,DUT
AUX,338.311,338.66,DUT
AUX,339.311,339.66,DUT
AUX,340.311,340.66,DUT
AUX,341.311,341.66,DUT
AUX,342.311,342.66,DUT
AUX,343.311,343.66,DUT
AUX,344.311,344.66,DUT
AUX,345.311,345.66,DUT
AUX,346.311,346.66,DUT
AUX,347.311,347.66,DUT
AUX,348.311,348.66,DUT
AUX,349.311,349.66,DUT
AUX,350.311,350.66,DUT
AUX,351.311,351.66,DUT
AUX,352.311,352.66,DUT
AUX,353.311,353.66,DUT
AUX,354.311,354.66,DUT
AUX,355.311,355.66,DUT
AUX,356.311,356.66,DUT
AUX,357.311,357.66,DUT
AUX,358.311,358.66,DUT
AUX,359.311,359.66,DUT
AUX,360.311,360.66,DUT
AUX,361.311,361.66,DUT
AUX,362.311,362.66,DUT
AUX,363.311,363.66,DUT
AUX,364.311,364.66,DUT
AUX,365.311,365.66,DUT
AUX,366.311,366.66,DUT
AUX,367.311,367.66,DUT
AUX,368.311,368.66,DUT
AUX,369.311,369.66,DUT
AUX,370.311,370.66,DUT
AUX,371.311,371.66,DUT
AUX,372.311,372.66,DUT
AUX,373.311,373.66,DUT
AUX,374.311,374.66,DUT
AUX,375.311,375.66,DUT
AUX,376.311,376.66,DUT
AUX,377.311,377.66,DUT
AUX,378.311,378.66,DUT
AUX,379.311,379.66,DUT
AUX,380.311,380.66,DUT
AUX,381.311,381.66,DUT
AUX,382.311,382.66,DUT
AUX,383.311,383.66,DUT
AUX,384.311,384.66,DUT
AUX,385.311,385.66,DUT
AUX,386.311,386.66,DUT
AUX,387.311,387.66,DUT
AUX,388.311,388.66,DUT
AUX,389.311,389.66,DUT
AUX,390.311,390.66,DUT
AUX,391.311,391.66,DUT
AUX,392.311,392.66,DUT
AUX,393.311,393.66,DUT
AUX,394.311,394.66,DUT
AUX,395.311,395.66,DUT
AUX,396.311,396.66,DUT
AUX,397.311,397.66,DUT
AUX,398.311,398.66,DUT
AUX,399.311,399.66,DUT
AUX,400.311,400.66,DUT
AUX,401.311,401.66,DUT
AUX,402.311,402.66,DUT
AUX,403.311,403.66,DUT
AUX,404.311,404.66,DUT
AUX,405.311,405.66,DUT
AUX,406.311,406.66,DUT
AUX,407.311,407.66,DUT
AUX,408.311,408.66,DUT
AUX,409.311,409.66,DUT
AUX,410.311,410.66,DUT
AUX,411.311,411.66,DUT
AUX,412.311,412.66,DUT
AUX,413.311,413.66,DUT
AUX,414.311,414.66,DUT
AUX,415.311,415.66,DUT
AUX,416.311,416.66,DUT
AUX,417.311,417.66,DUT
AUX,418.311,418.66,DUT
AUX,419.311,419.66,DUT
AUX,420.311,420.66,DUT
AUX,421.311,421.66,DUT
AUX,422.311,422.66,DUT
AUX,423.311,423.66,DUT
AUX,424.311,424.66,DUT
AUX,425.311,425.66,DUT
AUX,426.311,426.66,DUT
AUX,427.311,427.66,DUT
AUX,428.311,428.66,DUT
AUX,429.311,429.66,DUT
AUX,430.311,430.66,DUT
AUX,431.311,431.66,DUT
AUX,432.311,432.66,DUT
AUX,433.311,433.66,DUT
AUX,434.311,434.66,DUT
AUX,435.311,435.66,DUT
AUX,436.311,436.66,DUT
AUX,437.311,437.66,DUT
AUX,438.311,438.66,DUT
AUX,439.311,439.66,DUT
AUX,440.311,440.66,DUT
AUX,441.311,441.66,DUT
AUX,442.311,442.66,DUT
AUX,443.311,443.66,DUT
AUX,444.311,444.66,DUT
AUX,445.311,445.66,DUT
AUX,446.311,446.66,DUT
AUX,447.311,447.66,DUT
AUX,448.311,448.66,DUT
AUX,449.311,449.66,DUT
AUX,450.311,450.66,DUT
AUX,451.311,451.66,DUT
AUX,452.311,452.66,DUT
AUX,453.311,453.66,DUT
AUX,454.311,454.66,DUT
AUX,455.311,455.66,DUT
AUX,456.311,456.66,DUT
AUX,457.311,457.66,DUT
AUX,458.311,458.66,DUT
AUX,459.311,459.66,DUT
AUX,460.311,460.66,DUT
AUX,461.311,461.66,DUT
AUX,462.311,462.66,DUT
AUX,463.311,463.66,DUT
AUX,464.311,464.66,DUT
AUX,465.311,465.66,DUT
AUX,466.311,466.66,DUT
AUX,467.311,467.66,DUT
AUX,468.311,468.66,DUT
AUX,469.311,469.66,DUT
AUX,470.311,470.66,DUT
AUX,471.311,471.66,DUT
AUX,472.311,472.66,DUT
AUX,473.311,473.66,DUT
AUX,474.311,474.66,DUT
AUX,475.311,475.66,DUT
AUX,476.311,476.66,DUT
AUX,477.311,477.66,DUT
AUX,478.311,478.66,DUT
AUX,479.311,479.66,DUT
AUX,480.311,480.66,DUT
AUX,481.311,481.66,DUT
AUX,482.311,482.66,DUT
AUX,483.311,483.66,DUT
AUX,484.311,484.66,DUT
AUX,485.311,485.66,DUT
AUX,486.311,486.66,DUT
AUX,487.311,487.66,DUT
AUX,488.311,488.66,DUT
AUX,489.311,489.66,DUT
AUX,490.311,490.66,DUT
AUX,491.311,491.66,DUT
AUX,492.311,492.66,DUT
AUX,493.311,493.66,DUT
AUX,494.311,494.66,DUT
AUX,495.311,495.66,DUT
AUX,496.311,496.66,DUT
AUX,497.311,497.66,DUT
AUX,498.311,498.66,DUT
AUX,499.311,499.66,DUT
AUX,500.311,500.66,DUT
AUX,501.311,501.66,DUT
AUX,502.311,502.66,DUT
AUX,503.311,503.66,DUT
AUX,504.311,504.66,DUT
AUX,505.311,505.66,DUT
AUX,506.311,506.66,DUT
AUX,507.311,507.66,DUT
AUX,508.311,508.66,DUT
AUX,509.311,509.66,DUT
AUX,510.311,510.66,DUT
AUX,511.311,511.66,DUT
AUX,512.311,512.66,DUT
AUX,513.311,513.66,DUT
AUX,514.311,514.66,DUT
AUX,515.311,515.66,DUT
AUX,516.311,516.66,DUT
AUX,517.311,517.66,DUT
AUX,518.311,518.66,DUT
AUX,519.311,519.66,DUT
AUX,520.311,520.66,DUT
AUX,521.311,521.66,DUT
AUX,522.311,522.66,DUT
AUX,523.311,523.66,DUT
AUX,524.311,524.66,DUT
AUX,525.311,525.66,DUT
AUX,526.311,526.66,DUT
AUX,527.311,527.66,DUT
AUX,528.311,528.66,DUT
AUX,529.311,529.66,DUT
AUX,530.311,530.66,DUT
AUX,531.311,531.66,DUT
AUX,532.311,532.66,DUT
AUX,533.311,533.66,DUT
AUX,534.311,534.66,DUT
AUX,535.311,535.66,DUT
AUX,536.311,536.66,DUT
AUX,537.311,537.66,DUT
AUX,538.311,538.66,DUT
AUX,539.311,539.66,DUT
AUX,540.311,540.66,DUT
AUX,541.311,541.66,DUT
AUX,542.311,542.66,DUT
AUX,543.311,543.66,DUT
AUX,544.311,544.66,DUT
AUX,545.311,545.66,DUT
AUX,546.311,546.66,DUT
AUX,547.311,547.66,DUT
AUX,548.311,548.66,DUT
AUX,549.311,549.66,DUT
AUX,550.311,550.66,DUT
AUX,551.311,551.66,DUT
AUX,552.311,552.66,DUT
AUX,553.311,553.66,DUT
AUX,554.311,554.66,DUT
AUX,555.311,555.66,DUT
AUX,556.311,556.66,DUT
AUX,557.311,557.66,DUT
AUX,558.311,558.66,DUT
AUX,559.311,559.66,DUT
AUX,560.311,560.66,DUT
AUX,561.311,561.66,DUT
AUX,562.311,562.66,DUT
AUX,563.311,563.66,DUT
AUX,564.311,564.66,DUT
AUX,565.311,565.66,DUT
AUX,566.311,566.66,DUT
AUX,567.311,567.66,DUT
AUX,568.311,568.66,DUT
AUX,569.311,569.66,DUT
AUX,570.311,570.66,DUT
AUX,571.311,571.66,DUT
AUX,572.311,572.66,DUT
AUX,573.311,573.66,DUT
AUX,574.311,574.66,DUT
AUX,575.311,575.66,DUT
AUX,576.311,576.66,DUT
AUX,577.311,577.66,DUT
AUX,578.311,578.66,DUT
AUX,579.311,579.66,DUT
AUX,580.311,580.66,DUT
AUX,581.311,581.66,DUT
AUX,582.311,582.66,DUT
AUX,583.311,583.66,DUT
AUX,584.311,584.66,DUT
AUX,585.311,585.66,DUT
AUX,586.311,586.66,DUT
AUX,587.311,587.66,DUT
AUX,588.311,588.66,DUT
AUX,589.311,589.66,DUT
AUX,590.311,590.66,DUT
AUX,591.311,591.66,DUT
AUX,592.311,592.66,DUT
AUX,593.311,593.66,DUT
AUX,594.311,594.66,DUT
AUX,595.311,595.66,DUT
AUX,596.311,596.66,DUT
AUX,597.311,597.66,DUT
AUX,598.311,598.66,DUT
AUX,599.311,599.66,DUT
AUX,600.311,600.66,DUT
AUX,601.311,601.66,DUT
AUX,602.311,602.66,DUT
AUX,603.311,603.66,DUT
AUX,604.311,604.66,DUT
AUX,605.311,605.66,DUT
AUX,606.311,606.66,DUT
AUX,607.311,607.66,DUT
AUX,608.311,608.66,DUT
AUX,609.311,609.66,DUT
AUX,610.311,610.66,DUT
AUX,611.311,611.66,DUT
AUX,612.311,612.66,DUT
AUX,613.311,613.66,DUT
AUX,614.311,614.66,DUT
AUX,615.311,615.66,DUT
AUX,616.311,616.66,DUT
AUX,617.311,617.66,DUT
AUX,618.311,618.66,DUT
AUX,619.311,619.66,DUT
AUX,620.311,620.66,DUT
AUX,621.311,621.66,DUT
AUX,622.311,622.66,DUT
AUX,623.311,623.66,DUT
AUX,624.311,624.66,DUT
AUX,625.311,625.66,DUT
AUX,626.311,626.66,DUT
AUX,627.311,627.66,DUT
AUX,628.311,628.66,DUT
AUX,629.311,629.66,DUT
AUX,630.311,630.66,DUT
AUX,631.311,631.66,DUT
AUX,632.311,632.66,DUT
AUX,633.311,633.66,DUT
AUX,634.311,634.66,DUT
AUX,635.311,635.66,DUT
AUX,636.311,636.66,DUT
AUX,637.311,637.66,DUT
AUX,638.311,638.66,DUT
AUX,639.311,639.66,DUT
AUX,640.311,640.66,DUT
AUX,641.311,641.66,DUT
AUX,642.311,642.66,DUT
AUX,643.311,643.66,DUT
AUX,644.311,644.66,DUT
AUX,645.311,645.66,DUT
AUX,646.311,646.66,DUT
AUX,647.311,647.66,DUT
AUX,648.311,648.66,DUT
AUX,649.311,649.66,DUT
AUX,650.311,650.66,DUT
AUX,651.311,651.66,DUT
AUX,652.311,652.66,DUT
AUX,653.311,653.66,DUT
AUX,654.311,654.66,DUT
AUX,655.311,655.66,DUT
AUX,656.311,656.66,DUT
AUX,657.311,657.66,DUT
AUX,658.311,658.66,DUT
AUX,659.311,659.66,DUT
AUX,660.311,660.66,DUT
AUX,661.311,661.66,DUT
AUX,662.311,662.66,DUT
AUX,663.311,663.66,DUT
AUX,664.311,664.66,DUT
AUX,665.311,665.66,DUT
AUX,666.311,666.66,DUT
AUX,667.311,667.66,DUT
AUX,668.311,668.66,DUT
AUX,669.311,669.66,DUT
AUX,670.311,670.66,DUT
AUX,671.311,671.66,DUT
AUX,672.311,672.66,DUT
AUX,673.311,673.66,DUT
AUX,674.311,674.66,DUT
AUX,675.311,675.66,DUT
AUX,676.311,676.66,DUT
AUX,677.311,677.66,DUT
AUX,678.311,678.66,DUT
AUX,679.311,679.66,DUT
AUX,680.311,680.66,DUT
AUX,681.311,681.66,DUT
AUX,682.311,682.66,DUT
AUX,683.311,683.66,DUT
AUX,684.311,684.66,DUT
AUX,685.311,685.66,DUT
AUX,686.311,686.66,DUT
AUX,687.311,687.66,DUT
AUX,688.311,688.66,DUT
AUX,689.311,689.66,DUT
AUX,690.311,690.66,DUT
AUX,691.311,691.66,DUT
AUX,692.311,692.66,DUT
AUX,693.311,693.66,DUT
AUX,694.311,694.66,DUT
AUX,695.311,695.66,DUT
AUX,696.311,696.66,DUT
AUX,697.311,697.66,DUT
AUX,698.311,698.66,DUT
AUX,699.311,699.66,DUT
AUX,700.311,700.66,DUT
AUX,701.311,701.66,DUT
AUX,702.311,702.66,DUT
AUX,703.311,703.66,DUT
AUX,704.311,704.66,DUT
AUX,705.311,705.66,DUT
AUX,706.311,706.66,DUT
AUX,707.311,707.66,DUT
AUX,708.311,708.66,DUT
AUX,709.311,709.66,DUT
AUX,710.311,710.66,DUT
AUX,711.311,711.66,DUT
AUX,712.311,712.66,DUT
AUX,713.311,713.66,DUT
AUX,714.311,714.66,DUT
AUX,715.311,715.66,DUT
AUX,716.311,716.66,DUT
AUX,717.311,717.66,DUT
AUX,718.311,718.66,DUT
AUX,719.311,719.66,DUT
AUX,720.311,720.66,DUT
AUX,721.311,721.66,DUT
AUX,722.311,722.66,DUT
AUX,723.311,723.66,DUT
AUX,724.311,724.66,DUT
AUX,725.311,725.66,DUT
AUX,726.311,726.66,DUT
AUX,727.311,727.66,DUT
AUX,728.311,728.66,DUT
AUX,729.311,729.66,DUT
AUX,730.311,730.66,DUT
AUX,731.311,731.66,DUT
AUX,732.311,732.66,DUT
AUX,733.311,733.66,DUT
AUX,734.311,734.66,DUT
AUX,735.311,735.66,DUT
AUX,736.311,736.66,DUT
AUX,737.311,737.66,DUT
AUX,738.311,738.66,DUT
AUX,739.311,739.66,DUT
AUX,740.311,740.66,DUT
AUX,741.311,741.66,DUT
AUX,742.311,742.66,DUT
AUX,743.311,743.66,DUT
AUX,744.311,744.66,DUT
AUX,745.311,745.66,DUT
AUX,746.311,746.66,DUT
AUX,747.311,747.66,DUT
AUX,748.311,748.66,DUT
AUX,749.311,749.66,DUT
AUX,750.311,750.66,DUT
AUX,751.311,751.66,DUT
AUX,752.311,752.66,DUT
AUX,753.311,753.66,DUT
AUX,754.311,754.66,DUT
AUX,755.311,755.66,DUT
AUX,756.311,756.66,DUT
AUX,757.311,757.66,DUT
AUX,758.311,758.66,DUT
AUX,759.311,759.66,DUT
AUX,760.311,760.66,DUT
AUX,761.311,761.66,DUT
AUX,762.311,762.66,DUT
AUX,763.311,763.66,DUT
AUX,764.311,764.66,DUT
AUX,765.311,765.66,DUT
AUX,766.311,766.66,DUT
AUX,767.311,767.66,DUT
AUX,768.311,768.66,DUT
AUX,769.311,769.66,DUT
AUX,770.311,770.66,DUT
AUX,771.311,771.66,DUT
AUX,772.311,772.66,DUT
AUX,773.311,773.66,DUT
AUX,774.311,774.66,DUT
AUX,775.311,775.66,DUT
AUX,776.311,776.66,DUT
AUX,777.311,777.66,DUT
AUX,778.311,778.66,DUT
AUX,779.311,779.66,DUT
AUX,780.311,780.66,DUT
AUX,781.311,781.66,DUT
AUX,782.311,782.66,DUT
AUX,783.311,783.66,DUT
AUX,784.311,784.66,DUT
AUX,785.311,785.66,DUT
AUX,786.311,786.66,DUT
AUX,787.311,787.66,DUT
AUX,788.311,788.66,DUT
AUX,789.311,789.66,DUT
AUX,790.311,790.66,DUT
AUX,791.311,791.66,DUT
AUX,792.311,792.66,DUT
AUX,793.311,793.66,DUT
AUX,794.311,794.66,DUT
AUX,795.311,795.66,DUT
AUX,796.311,796.66,DUT
AUX,797.311,797.66,DUT
AUX,798.311,798.66,DUT
AUX,799.311,799.66,DUT
AUX,800.311,800.66,DUT
AUX,801.311,801.66,DUT
AUX,802.311,802.66,DUT
AUX,803.311,803.66,DUT
AUX,804.311,804.66,DUT
AUX,805.311,805.66,DUT
AUX,806.311,806.66,DUT
AUX,807.311,807.66,DUT
AUX,808.311,808.66,DUT
AUX,809.311,809.66,DUT
AUX,810.311,810.66,DUT
AUX,811.311,811.66,DUT
AUX,812.311,812.66,DUT
AUX,813.311,813.66,DUT
AUX,814.311,814.66,DUT
AUX,815.311,815.66,DUT
AUX,816.311,816.66,DUT
AUX,817.311,817.66,DUT
AUX,818.311,818.66,DUT
AUX,819.311,819.66,DUT
AUX,820.311,820.66,DUT
AUX,821.311,821.66,DUT
AUX,822.311,822.66,DUT
AUX,823.311,823.66,DUT
AUX,824.311,824.66,DUT
AUX,825.311,825.66,DUT
AUX,826.311,826.66,DUT
AUX,827.311,827.66,DUT
AUX,828.311,828.66,DUT
AUX,829.311,829.66,DUT
AUX,830.311,830.66,DUT
AUX,831.311,831.66,DUT
AUX,832.311,832.66,DUT
AUX,833.311,833.66,DUT
AUX,834.311,834.66,DUT
AUX,835.311,835.66,DUT
AUX,836.311,836.66,DUT
AUX,837.311,837.66,DUT
AUX,838.311,838.66,DUT
AUX,839.311,839.66,DUT
AUX,840.311,840.66,DUT
AUX,841.311,841.66,DUT
AUX,842.311,842.66,DUT
AUX,843.311,843.66,DUT
AUX,844.311,844.66,DUT
AUX,845.311,845.66,DUT
AUX,846.311,846.66,DUT
AUX,847.311,847.66,DUT
AUX,848.311,848.66,DUT
AUX,849.311,849.66,DUT
AUX,850.311,850.66,DUT
AUX,851.311,851.66,DUT
AUX,852.311,852.66,DUT
AUX,853.311,853.66,DUT
AUX,854.311,854.66,DUT
AUX,855.311,855.66,DUT
AUX,856.311,856.66,DUT
AUX,857.311,857.66,DUT
AUX,858.311,858.66,DUT
AUX,859.311,859.66,DUT
AUX,860.311,860.66,DUT
AUX,861.311,861.66,DUT
AUX,862.311,862.66,DUT
AUX,863.311,863.66,DUT
AUX,864.311,864.66,DUT
AUX,865.311,865.66,DUT
AUX,866.311,866.66,DUT
AUX,867.311,867.66,DUT
AUX,868.311,868.66,DUT
AUX,869.311,869.66,DUT
AUX,870.311,870.66,DUT
AUX,871.311,871.66,DUT
AUX,872.311,872.66,DUT
AUX,873.311,873.66,DUT
